,no,song,movie,year,singers,lyricist,composer
0,1,Charithrathinte Veedhiyil ...,Jail,1966,"KJ Yesudas, P Jayachandran, PB Sreenivas",Vayalar,G Devarajan
1,2,Manjalayil Mungithorthi ...,Kalithozhan,1966,P Jayachandran,P Bhaskaran,G Devarajan
2,3,Thaarunyam Thannude ...,Kalithozhan,1966,P Jayachandran,P Bhaskaran,G Devarajan
3,4,Vaanampaadi Vaanampaadi ...,Mayor Nair,1966,"S Janaki, P Jayachandran",Vayalar,LPR Varma
4,5,Vaishaakha Pournami ...,Mayor Nair,1966,P Jayachandran,Vayalar,LPR Varma
5,6,Varnapushpangal ...,Mayor Nair,1966,"S Janaki, P Jayachandran, LPR Varma",Vayalar,LPR Varma
6,7,Mudiniraye Pookkalumaay ...,Mayor Nair,1966,"S Janaki, P Jayachandran",Vayalar,LPR Varma
7,8,Alliyaambal Poovukale ...,Kalyaanaraathriyil,1966,"S Janaki, P Jayachandran",Vayalar,G Devarajan
8,9,Aama kadalaama ...,Kunjikkoonan,1966,P Jayachandran,P Bhaskaran,BA Chidambaranath
9,10,Naadan Premam ...,Naadan Pennu,1967,"P Jayachandran, JM Raju",Vayalar,G Devarajan
10,11,Udikkunna Sooryane ...,Kunjaali Maraykkaar,1967,"KJ Yesudas, P Jayachandran, AK Sukumaran",P Bhaskaran,BA Chidambaranath
11,12,Oru Mullappoomaalayumaay ...,Kunjaali Maraykkaar,1967,"P Jayachandran, Prema",P Bhaskaran,BA Chidambaranath
12,13,Aattinakkare ...,Kunjaali Maraykkaar,1967,"P Jayachandran, AK Sukumaran, AP Komala, B Vasantha, KP Chandramohan",P Bhaskaran,BA Chidambaranath
13,14,Arimullavalli ...,Postman,1967,P Jayachandran,Vayalar,BA Chidambaranath
14,15,Iniyum Puzhayozhukum ...,Agniputhri,1967,P Jayachandran,Vayalar,MS Baburaj
15,16,Raajeeva Lochane ...,Agniputhri,1967,P Jayachandran,Vayalar,MS Baburaj
16,17,Anuraagagaanam Pole ...,Udyogastha,1967,P Jayachandran,Yusufali Kecheri,MS Baburaj
17,18,Kaarthika Manideepa ...,Sheelaavathi,1967,"S Janaki, P Jayachandran, Chorus",P Bhaskaran,G Devarajan
18,19,Shakthi Nalkuka ...,Maadatharuvi,1967,P Jayachandran,P Bhaskaran,BA Chidambaranath
19,20,Innalathe Pennallallo ...,Kanaatha Veshangal,1967,"P Jayachandran, B Vasantha",Vayalar,BA Chidambaranath
20,21,Madhuchandrikayude ...,Anaachaadhanam,1969,P Jayachandran,Vayalar,G Devarajan
21,22,Penninte Manassil ...,Anaachaadhanam,1969,P Jayachandran,Vayalar,G Devarajan
22,23,Hari Krishna krishna ...,Vazhi Pizhacha Santhathi,1968,"P Jayachandran, P Leela, B Vasantha, Sreelatha Namboothiri, B Savithri",P Bhaskaran,BA Chidambaranath
23,24,Pankajadalanayane ...,Vazhi Pizhacha Santhathi,1968,"P Jayachandran, P Leela, B Vasantha, Sreelatha Namboothiri, B Savithri",P Bhaskaran,BA Chidambaranath
24,25,Marubhoomiyil Malar Viriyukayo ...,Bhaaryamaar Sookshikkuka,1968,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
