,no,song,movie,year,singers,lyricist,composer
0,1,Muthassikkadhayile ...,Kummaatti,1979,"KS Chithra, Manju, Asha, Usha",Kavalam Narayana Panicker,"MG Radhakrishnan, Kavalam Narayana Panicker"
1,2,Rajanee Parayoo ...,Njaan Ekanaanu,1982,KS Chithra,Sathyan Anthikkad,MG Radhakrishnan
2,3,Pranayavasantham ...,Njaan Ekanaanu,1982,"KJ Yesudas, KS Chithra",Sathyan Anthikkad,MG Radhakrishnan
3,4,Aashe aare chaare ...,Aasha,1982,"KJ Yesudas, KS Chithra, Chorus, KS Beena",Dr Pavithran,AT Ummer
4,5,Maanikyam ...,Kelkkaatha Shabdam,1982,"KJ Yesudas, KS Chithra",Devadas,Johnson
5,6,Enthu Mama Sadanathil ...,Snehapoorvam Meera,1982,"KS Chithra, KS Beena",,MG Radhakrishnan
6,7,Arikilo Akaleyo ...,Novemberinte Nashtam,1982,"KS Chithra, Arundhathi",Poovachal Khader,MG Radhakrishnan
7,8,Arikilo Akaleyo [Record Version] ...,Novemberinte Nashtam,1982,"KS Chithra, MG Sreekumar, Arundhathi",Poovachal Khader,MG Radhakrishnan
8,9,Kadalilum karayilum ...,Rathilayam,1983,"KS Chithra, KG Markose",Poovachal Khader,MG Radhakrishnan
9,10,Thaimanikkunju thennal ...,Ente Maamattikkuttiyammaykku,1983,"KS Chithra, Chorus",Bichu Thirumala,Jerry Amaldev
10,11,Aalorungi arangorungi ...,Ente Maamattikkuttiyammaykku,1983,KS Chithra,Bichu Thirumala,Jerry Amaldev
11,12,Gaaname Unaroo Dukha [F] ...,Mounaraagam,1983,KS Chithra,Sreekumaran Thampi,KJ Yesudas
12,13,Illikkaadum ...,Aduthaduthu,1984,"KJ Yesudas, KS Chithra",Sathyan Anthikkad,Raveendran
13,14,Aalolam chaanchaadum ...,Aduthaduthu,1984,KS Chithra,Sathyan Anthikkad,Raveendran
14,15,Vaanampaadi Ithile ...,Uyarangalil,1984,KS Chithra,Bichu Thirumala,Shyam
